Date,USD/TWD close
13-Apr-18,29.324
16-Apr-18,29.359
17-Apr-18,29.365
18-Apr-18,29.3
19-Apr-18,29.399
20-Apr-18,29.466
23-Apr-18,29.609
24-Apr-18,29.626
25-Apr-18,29.692
26-Apr-18,29.659
27-Apr-18,29.566
30-Apr-18,29.639
1-May-18,29.682
2-May-18,29.793
3-May-18,29.684
4-May-18,29.679
7-May-18,29.826
8-May-18,29.811
9-May-18,29.932
10-May-18,29.723
11-May-18,29.764
14-May-18,29.823
15-May-18,29.922
16-May-18,29.855
17-May-18,29.947
18-May-18,29.947
21-May-18,29.893
22-May-18,29.883
23-May-18,29.968
24-May-18,29.947
25-May-18,29.959
28-May-18,29.956
29-May-18,30.069
30-May-18,29.933
31-May-18,29.988
1-Jun-18,29.819
4-Jun-18,29.748
5-Jun-18,29.818
6-Jun-18,29.698
7-Jun-18,29.77
8-Jun-18,29.851
11-Jun-18,29.822
12-Jun-18,29.877
13-Jun-18,29.856
14-Jun-18,29.942
15-Jun-18,30.147
18-Jun-18,30.16
19-Jun-18,30.187
20-Jun-18,30.196
21-Jun-18,30.322
22-Jun-18,30.312
25-Jun-18,30.373
26-Jun-18,30.419
27-Jun-18,30.526
28-Jun-18,30.571
29-Jun-18,30.479
2-Jul-18,30.544
3-Jul-18,30.549
4-Jul-18,30.511
5-Jul-18,30.527
6-Jul-18,30.443
9-Jul-18,30.322
10-Jul-18,30.36
11-Jul-18,30.663
12-Jul-18,30.514
13-Jul-18,30.581
16-Jul-18,30.543
17-Jul-18,30.548
18-Jul-18,30.603
19-Jul-18,30.681
20-Jul-18,30.598
23-Jul-18,30.631
24-Jul-18,30.622
25-Jul-18,30.473
26-Jul-18,30.607
27-Jul-18,30.57
30-Jul-18,30.588
31-Jul-18,30.583
1-Aug-18,30.626
2-Aug-18,30.72
3-Aug-18,30.593
6-Aug-18,30.65
7-Aug-18,30.558
8-Aug-18,30.59
9-Aug-18,30.661
10-Aug-18,30.746
13-Aug-18,30.86
14-Aug-18,30.825
15-Aug-18,30.888
16-Aug-18,30.762
17-Aug-18,30.725
20-Aug-18,30.722
21-Aug-18,30.655
22-Aug-18,30.668
23-Aug-18,30.83
24-Aug-18,30.676
27-Aug-18,30.685
28-Aug-18,30.705
29-Aug-18,30.691
30-Aug-18,30.748
31-Aug-18,30.678
3-Sep-18,30.724
4-Sep-18,30.768
5-Sep-18,30.782
6-Sep-18,30.785
7-Sep-18,30.822
10-Sep-18,30.83
11-Sep-18,30.805
12-Sep-18,30.722
13-Sep-18,30.733
14-Sep-18,30.772
17-Sep-18,30.811
18-Sep-18,30.794
19-Sep-18,30.742
20-Sep-18,30.725
21-Sep-18,30.642
24-Sep-18,30.714
25-Sep-18,30.671
26-Sep-18,30.68
27-Sep-18,30.54
28-Sep-18,30.461
1-Oct-18,30.54
2-Oct-18,30.663
3-Oct-18,30.731
4-Oct-18,30.847
5-Oct-18,30.915
8-Oct-18,30.958
9-Oct-18,30.958
10-Oct-18,31.078
11-Oct-18,30.95
12-Oct-18,30.9
15-Oct-18,30.882
16-Oct-18,30.78
17-Oct-18,30.868
18-Oct-18,30.988
19-Oct-18,30.887
22-Oct-18,30.923
23-Oct-18,30.939
24-Oct-18,30.98
25-Oct-18,30.951
26-Oct-18,30.963
29-Oct-18,30.995
30-Oct-18,30.943
31-Oct-18,30.932
1-Nov-18,30.729
2-Nov-18,30.576
5-Nov-18,30.696
6-Nov-18,30.767
7-Nov-18,30.566
8-Nov-18,30.685
9-Nov-18,30.774
12-Nov-18,30.92
13-Nov-18,30.849
14-Nov-18,30.863
15-Nov-18,30.785
16-Nov-18,30.772
19-Nov-18,30.894
20-Nov-18,30.948
21-Nov-18,30.855
22-Nov-18,30.86
23-Nov-18,30.932
26-Nov-18,30.857
27-Nov-18,30.907
28-Nov-18,30.812
29-Nov-18,30.747
30-Nov-18,30.846
3-Dec-18,30.655
4-Dec-18,30.765
5-Dec-18,30.793
6-Dec-18,30.835
7-Dec-18,30.929
10-Dec-18,30.914
11-Dec-18,30.833
12-Dec-18,30.77
13-Dec-18,30.82
14-Dec-18,30.863
17-Dec-18,30.822
18-Dec-18,30.808
19-Dec-18,30.856
20-Dec-18,30.738
21-Dec-18,30.793
22-Dec-18,30.791
24-Dec-18,30.804
25-Dec-18,30.808
26-Dec-18,30.774
27-Dec-18,30.751
28-Dec-18,30.566
31-Dec-18,30.563
1-Jan-19,30.533
2-Jan-19,30.76
3-Jan-19,30.905
4-Jan-19,30.787
7-Jan-19,30.805
8-Jan-19,30.838
9-Jan-19,30.783
10-Jan-19,30.787
11-Jan-19,30.796
14-Jan-19,30.835
15-Jan-19,30.826
16-Jan-19,30.797
17-Jan-19,30.824
18-Jan-19,30.864
21-Jan-19,30.885
22-Jan-19,30.889
23-Jan-19,30.841
24-Jan-19,30.862
25-Jan-19,30.708
